phase	dataset	nb_teachers	teacher_epochs	noise_scale	epsilon_target	wall_time_s	status	log_file
teacher	mnist	50	10	-	-	10.00	OK	teachers_mnist_t50_e10.log:teacher_0
teacher	mnist	50	10	-	-	9.56	OK	teachers_mnist_t50_e10.log:teacher_1
teacher	mnist	50	10	-	-	9.81	OK	teachers_mnist_t50_e10.log:teacher_2
teacher	mnist	50	10	-	-	9.63	OK	teachers_mnist_t50_e10.log:teacher_3
teacher	mnist	50	10	-	-	10.03	OK	teachers_mnist_t50_e10.log:teacher_4
teacher	mnist	50	10	-	-	9.34	OK	teachers_mnist_t50_e10.log:teacher_5
teacher	mnist	50	10	-	-	9.54	OK	teachers_mnist_t50_e10.log:teacher_6
teacher	mnist	50	10	-	-	9.06	OK	teachers_mnist_t50_e10.log:teacher_7
teacher	mnist	50	10	-	-	9.41	OK	teachers_mnist_t50_e10.log:teacher_8
teacher	mnist	50	10	-	-	9.56	OK	teachers_mnist_t50_e10.log:teacher_9
teacher	mnist	50	10	-	-	9.79	OK	teachers_mnist_t50_e10.log:teacher_10
teacher	mnist	50	10	-	-	9.80	OK	teachers_mnist_t50_e10.log:teacher_11
teacher	mnist	50	10	-	-	8.99	OK	teachers_mnist_t50_e10.log:teacher_12
teacher	mnist	50	10	-	-	8.85	OK	teachers_mnist_t50_e10.log:teacher_13
teacher	mnist	50	10	-	-	8.98	OK	teachers_mnist_t50_e10.log:teacher_14
teacher	mnist	50	10	-	-	8.86	OK	teachers_mnist_t50_e10.log:teacher_15
teacher	mnist	50	10	-	-	9.56	OK	teachers_mnist_t50_e10.log:teacher_16
teacher	mnist	50	10	-	-	9.52	OK	teachers_mnist_t50_e10.log:teacher_17
teacher	mnist	50	10	-	-	9.05	OK	teachers_mnist_t50_e10.log:teacher_18
teacher	mnist	50	10	-	-	8.49	OK	teachers_mnist_t50_e10.log:teacher_19
teacher	mnist	50	10	-	-	8.86	OK	teachers_mnist_t50_e10.log:teacher_20
teacher	mnist	50	10	-	-	9.38	OK	teachers_mnist_t50_e10.log:teacher_21
teacher	mnist	50	10	-	-	9.33	OK	teachers_mnist_t50_e10.log:teacher_22
teacher	mnist	50	10	-	-	9.89	OK	teachers_mnist_t50_e10.log:teacher_23
teacher	mnist	50	10	-	-	8.92	OK	teachers_mnist_t50_e10.log:teacher_24
teacher	mnist	50	10	-	-	8.85	OK	teachers_mnist_t50_e10.log:teacher_25
teacher	mnist	50	10	-	-	10.04	OK	teachers_mnist_t50_e10.log:teacher_26
teacher	mnist	50	10	-	-	9.07	OK	teachers_mnist_t50_e10.log:teacher_27
teacher	mnist	50	10	-	-	9.54	OK	teachers_mnist_t50_e10.log:teacher_28
teacher	mnist	50	10	-	-	9.18	OK	teachers_mnist_t50_e10.log:teacher_29
teacher	mnist	50	10	-	-	9.49	OK	teachers_mnist_t50_e10.log:teacher_30
teacher	mnist	50	10	-	-	9.20	OK	teachers_mnist_t50_e10.log:teacher_31
teacher	mnist	50	10	-	-	9.42	OK	teachers_mnist_t50_e10.log:teacher_32
teacher	mnist	50	10	-	-	9.06	OK	teachers_mnist_t50_e10.log:teacher_33
teacher	mnist	50	10	-	-	9.14	OK	teachers_mnist_t50_e10.log:teacher_34
teacher	mnist	50	10	-	-	9.16	OK	teachers_mnist_t50_e10.log:teacher_35
teacher	mnist	50	10	-	-	8.99	OK	teachers_mnist_t50_e10.log:teacher_36
teacher	mnist	50	10	-	-	9.60	OK	teachers_mnist_t50_e10.log:teacher_37
teacher	mnist	50	10	-	-	8.59	OK	teachers_mnist_t50_e10.log:teacher_38
teacher	mnist	50	10	-	-	8.42	OK	teachers_mnist_t50_e10.log:teacher_39
teacher	mnist	50	10	-	-	8.94	OK	teachers_mnist_t50_e10.log:teacher_40
teacher	mnist	50	10	-	-	8.71	OK	teachers_mnist_t50_e10.log:teacher_41
teacher	mnist	50	10	-	-	8.93	OK	teachers_mnist_t50_e10.log:teacher_42
teacher	mnist	50	10	-	-	8.50	OK	teachers_mnist_t50_e10.log:teacher_43
teacher	mnist	50	10	-	-	8.51	OK	teachers_mnist_t50_e10.log:teacher_44
teacher	mnist	50	10	-	-	8.53	OK	teachers_mnist_t50_e10.log:teacher_45
teacher	mnist	50	10	-	-	8.75	OK	teachers_mnist_t50_e10.log:teacher_46
teacher	mnist	50	10	-	-	8.43	OK	teachers_mnist_t50_e10.log:teacher_47
teacher	mnist	50	10	-	-	8.51	OK	teachers_mnist_t50_e10.log:teacher_48
teacher	mnist	50	10	-	-	8.69	OK	teachers_mnist_t50_e10.log:teacher_49
student	mnist	50	10	200	1	5.01	OK	mnist_t50_e10_eps1_noise200.log
student	mnist	50	10	57	4	5.06	OK	mnist_t50_e10_eps4_noise57.log
student	mnist	50	10	6.7	8	45.18	OK	mnist_t50_e10_eps8_noise6.7.log
teacher	mnist	50	50	-	-	8.98	OK	teachers_mnist_t50_e50.log:teacher_0
teacher	mnist	50	50	-	-	9.43	OK	teachers_mnist_t50_e50.log:teacher_1
teacher	mnist	50	50	-	-	8.90	OK	teachers_mnist_t50_e50.log:teacher_2
teacher	mnist	50	50	-	-	9.23	OK	teachers_mnist_t50_e50.log:teacher_3
teacher	mnist	50	50	-	-	8.91	OK	teachers_mnist_t50_e50.log:teacher_4
teacher	mnist	50	50	-	-	8.98	OK	teachers_mnist_t50_e50.log:teacher_5
teacher	mnist	50	50	-	-	9.31	OK	teachers_mnist_t50_e50.log:teacher_6
teacher	mnist	50	50	-	-	9.44	OK	teachers_mnist_t50_e50.log:teacher_7
teacher	mnist	50	50	-	-	9.94	OK	teachers_mnist_t50_e50.log:teacher_8
teacher	mnist	50	50	-	-	9.28	OK	teachers_mnist_t50_e50.log:teacher_9
