dataset	nb_teachers	target_eps	sigma	achieved_eps	accuracy	wall_time_s	status
mnist	50	1	220.0	0.9961	0.1320	5.29	OK
mnist	50	4	58.0	3.9997	0.3533	4.69	OK
mnist	50	8	31.0	7.9720	0.6817	4.63	OK
mnist	100	1	220.0	0.9961	0.2017	4.60	OK
mnist	100	4	58.0	3.9997	0.7351	4.66	OK
mnist	100	8	31.0	7.9720	0.9037	4.59	OK
mnist	200	1	220.0	0.9961	0.2991	4.67	OK
mnist	200	4	58.0	3.9997	0.9011	4.64	OK
mnist	200	8	48.0	4.9068	0.8967	4.63	OK
mnist	300	1	220.0	0.9961	0.5144	4.64	OK
mnist	300	4	70.0	3.3474	0.8810	4.69	OK
mnist	300	8	70.0	3.3474	0.8810	4.69	OK
svhn	50	1	220.0	0.9961	0.1434	6.73	OK
svhn	50	4	58.0	3.9997	0.2152	6.58	OK
svhn	50	8	31.0	7.9720	0.3302	6.59	OK
svhn	100	1	220.0	0.9961	0.1641	6.60	OK
svhn	100	4	58.0	3.9997	0.3362	6.59	OK
svhn	100	8	31.0	7.9720	0.5627	6.66	OK
svhn	200	1	220.0	0.9961	0.1791	6.65	OK
svhn	200	4	58.0	3.9997	0.4549	6.59	OK
svhn	200	8	30.8	8.0191	0.5617	6.86	OK
cifar10	50	1	220.0	0.9961	0.1014	7.67	OK
cifar10	50	4	58.0	3.9997	0.1589	7.64	OK
cifar10	50	8	31.0	7.9720	0.2904	7.66	OK
cifar10	100	1	220.0	0.9961	0.1258	7.74	OK
cifar10	100	4	58.0	3.9997	0.2797	7.70	OK
cifar10	100	8	31.0	7.9720	0.4143	7.69	OK
cifar10	200	1	220.0	0.9961	0.1474	7.65	OK
cifar10	200	4	58.0	3.9997	0.3663	7.64	OK
cifar10	200	8	31.9	8.0344	0.4587	7.78	OK
