dataset	nb_teachers	target_eps	sigma	achieved_eps	accuracy	wall_time_s	status
mnist	50	1	220.0	0.9961	0.1848	4.54	OK
mnist	50	4	58.0	3.9997	0.3090	4.49	OK
mnist	50	8	31.0	7.9720	0.6574	4.42	OK
mnist	100	1	220.0	0.9961	0.2359	4.69	OK
mnist	100	4	58.0	3.9997	0.6886	4.72	OK
mnist	100	8	31.0	7.9720	0.9000	4.57	OK
mnist	200	1	220.0	0.9961	0.3419	4.86	OK
mnist	200	4	58.0	3.9997	0.8999	4.68	OK
mnist	200	8	48.0	4.9068	0.9003	4.59	OK
svhn	50	1	220.0	0.9961	0.1240	6.68	OK
svhn	50	4	58.0	3.9997	0.1771	6.58	OK
svhn	50	8	31.0	7.9720	0.3639	6.62	OK
svhn	100	1	220.0	0.9961	0.1646	6.65	OK
svhn	100	4	58.0	3.9997	0.3058	7.13	OK
svhn	100	8	31.0	7.9720	0.4573	7.00	OK
svhn	200	1	220.0	0.9961	0.1428	7.33	OK
svhn	200	4	58.0	3.9997	0.2261	7.47	OK
svhn	200	8	33.0	8.0440	0.2515	7.19	OK
cifar10	50	1	220.0	0.9961	0.1268	7.83	OK
cifar10	50	4	58.0	3.9997	0.1863	7.82	OK
cifar10	50	8	31.0	7.9720	0.2950	7.82	OK
cifar10	100	1	220.0	0.9961	0.1086	7.85	OK
cifar10	100	4	58.0	3.9997	0.2553	7.83	OK
cifar10	100	8	31.0	7.9720	0.4133	7.85	OK
cifar10	200	1	220.0	0.9961	0.1568	7.99	OK
cifar10	200	4	58.0	3.9997	0.3863	8.08	OK
cifar10	200	8	31.9	8.0446	0.4587	8.08	OK
